track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,artist_avg_streams,total_playlists,chart_appearances_count,key_A,key_A#,key_B,key_C#,key_D,key_D#,key_E,key_F,key_F#,key_G,key_G#,key_Unknown,mode_Major,mode_Minor,release_date
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",1.6176350881432364,-0.6167285556893957,0.7150545653732934,-0.754894844709569,-0.6575777517693934,2.19532081916614,-0.3320415929883871,0.22108549602065283,-0.3612618537661551,0.6225993439270203,-0.13469048542467596,1.5156068508134224,0.587654169115624,-0.19465891299260416,-0.18813199633449962,1.7357662218628802,-0.6188291735741569,-0.6711210447859491,-0.5948408459528551,0.41664419386897533,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2023-06-22
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,-0.6230716545900549,-0.5934181317983998,1.3283721990348087,-0.8154526768250907,0.06004699502692705,1.3258186694610812,-0.3037215618328865,-0.2762264104490927,0.5919717182190759,0.016389116692110763,0.13885247165516604,1.3025535822608674,0.7085597008874698,-0.8104595572480459,-0.18813199633449962,-0.8911986879113355,-0.7197609213777119,-0.3128538154413508,-0.5636404951559815,1.204465457275986,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2023-07-07
I Wanna Be Yours,Arctic Monkeys,-0.6230716545900549,0.9702805751937892,5.008278001003901,1.3818306500441095,-0.5071080467959714,0.9108290071018484,0.17417896391618568,-0.11045577495917751,0.10264515126665731,0.44430221826969396,-1.2972480530140045,-0.3166512587385508,-1.346834339233909,-0.5795343156522552,0.04981066127237249,-0.5263424504426943,-0.7197609213777119,2.228030171777807,0.8767382894737877,1.204465457275986,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2013-01-01
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",0.4972817167765908,-0.4924485239662054,1.4305918046450612,-0.5533229900652041,-0.588130195627814,1.9779452817398753,-0.31257157156898047,1.381479944450059,0.5220679229401589,0.3729833680067634,1.233024299974534,1.2599429285503563,0.16448480791416356,-0.04070875192874373,-0.18813199633449962,-0.45337120294896616,-0.5178974257706019,-0.5335545312510651,-0.48159928496708004,1.204465457275986,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2023-05-31
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",1.6176350881432364,-0.41238228538408894,3.8327525364859967,-0.7038503616990717,0.07162158771719028,2.570787656538779,-0.2638965180204639,1.8787918509198045,6.584633440766228,-0.8394370864630556,1.233024299974534,1.3451642359713782,0.22493757380008647,-0.7719720169820807,-0.18813199633449962,1.297938736900511,0.9960787912827223,-0.3816598937969565,-0.39809906556825286,1.204465457275986,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2023-06-02
SABOR FRESA,Fuerza Regida,-0.6230716545900549,-0.6271168967712525,0.7150545653732934,-0.7692696685451774,-0.5997047883180773,1.918661044259985,-0.3320415929883871,0.38685613151056797,0.7063597468573036,0.26600509261236766,0.8227098643547711,1.8991027342080213,1.3130873597466988,-0.6949969364501506,-0.18813199633449962,-0.6722849454301508,-0.11417043455638219,-0.7855410943429751,-0.603482669734723,1.204465457275986,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2023-06-22
Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",0.4972817167765908,0.24220988985925868,3.321654508434734,0.6796218149818817,1.5531694520708843,1.3258186694610812,-0.05946129311669407,5.857287102677768,0.24880763230439273,-0.5541616854113335,0.8910956036247316,1.3025535822608674,0.9503707644311614,0.6135794325926631,-0.18813199633449962,-0.30742870796150973,-0.6188291735741569,0.983950753911303,0.22209208012787499,1.204465457275986,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2022-03-25
MOJABI GHOST,"Tainy, Bad Bunny",0.4972817167765908,-0.5499644611755106,1.4305918046450612,-0.7993730830693756,-0.3797875272030758,1.1282045445281133,-0.30460656280649595,1.8787918509198045,0.9796200374930697,-0.019270308439354504,0.9594813428946921,0.9616683525767793,0.4062958714578552,-0.502559235120325,-0.18813199633449962,2.7573636867750753,-0.6188291735741569,0.36687980148720467,-0.5295221259392564,1.204465457275986,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2023-06-29
Last Night,Morgan Wallen,-0.6230716545900549,-0.3522059193611375,0.35728594573740946,-0.14880637382141346,-0.18301945146860085,1.0886817195415197,-0.32761658812034017,-0.2762264104490927,1.7040775522018452,2.904802552340797,-1.0237050959341625,0.024233970945537225,0.22493757380008647,0.7290420533905584,-0.18813199633449962,-0.23445746046778151,-0.6188291735741569,-0.9402733164339929,-0.3553388725696599,1.204465457275986,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2023-01-31
Dance The Night (From Barbie The Album),Dua Lipa,-0.6230716545900549,-0.280247654306324,4.548289775757764,-0.6825915170380895,-0.784898271362289,-1.0257894172412372,-0.21433646349833785,5.857287102677768,-0.3612618537661551,-0.4471834100169377,0.0020809931152450402,1.1321109674188232,1.252634593860776,-0.9644097183119064,-0.18813199633449962,1.0790249944193264,-0.5178974257706019,1.5128579109630862,-0.2830618009394923,-0.37117706953803536,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2023-05-25
